Date,Active Energy,Exercise Time ,Body Fat,Sleep Asleep,Sleep Idel,Sleep In Bed,Weight
5/31/2022 0:00,240.89,2,,9.916666667,0.449070733,10.3657374, 
6/1/2022 0:00,390.62,27,,,0,, 
6/2/2022 0:00,210.91,1,,8.95,0.710935293,9.660935293, 
6/3/2022 0:00,178.91,,,4.980542939,1.719739042,6.700281981, 
6/4/2022 0:00,322.33,22,,10.85,4.73333333,15.58333333, 
6/5/2022 0:00,211.21,9,,11.16666667,2.28333333,13.45, 
6/6/2022 0:00,190.18,1,,10.28333333,0.31666667,10.6, 
6/7/2022 0:00,205.75,7,,10.88333333,0.11666667,11, 
6/8/2022 0:00,297.29,6,,10.13333333,0.18333334,10.31666667, 
6/9/2022 0:00,369.32,34,,9.683333333,3.033333337,12.71666667, 
6/10/2022 0:00,304.62,19,,12.78333333,2.28333334,15.06666667, 
6/11/2022 0:00,516.21,48,,7.166666667,0.567280392,7.733947059, 
6/12/2022 0:00,431.49,31,,9.25,0.75,10, 
6/13/2022 0:00,106.23,,,10.33333333,4.83333334,15.16666667, 
6/14/2022 0:00,222.14,7,,11.55,4.1,15.65, 
6/15/2022 0:00,292.45,6,,0,8.899181314,8.899181314, 
6/16/2022 0:00,244.69,25,15.5,9.166666667,0.1,9.266666667,57.54
6/17/2022 0:00,243.19,11,,12.35,3.23333333,15.58333333, 
6/18/2022 0:00,171.29,,,9.683333333,0.383333337,10.06666667, 
6/19/2022 0:00,254.76,11,,10.3,0.08333333,10.38333333, 
6/20/2022 0:00,319.79,23,15.4,,0,,57.69
6/21/2022 0:00,326.65,11,,10.35,0.78333333,11.13333333, 
6/22/2022 0:00,308.74,13,,7.192081047,0.949897497,8.141978544, 
6/23/2022 0:00,847.42,96,,7.716666667,2.133333333,9.85, 
6/24/2022 0:00,843.74,145,,,0,, 
6/25/2022 0:00,694.54,51,,6.7,0.527389029,7.227389029, 
6/26/2022 0:00,710.95,47,,5,0.898047276,5.898047276, 
6/27/2022 0:00,559.2,19,,3.933333333,2.716666667,6.65, 
6/28/2022 0:00,212.11,6,,9.483333333,0.983333337,10.46666667, 
6/29/2022 0:00,225.27,8,,9.216666667,3.983333333,13.2,56.24
6/30/2022 0:00,283.31,15,,,0,, 
7/1/2022 0:00,301.39,22,,9.65,0.233333333,9.883333333, 
7/2/2022 0:00,425.41,9,,7.133333333,0.4,7.533333333, 
7/3/2022 0:00,423.1,5,,8,0.489214811,8.489214811, 
7/4/2022 0:00,400.63,40,,9.966666667,4.166666663,14.13333333, 
7/5/2022 0:00,313.74,13,,8.083333333,0.072722411,8.156055744, 
7/6/2022 0:00,206.26,1,,,0,, 
7/7/2022 0:00,128.22,,,9.366666667,0.066666666,9.433333333, 
7/8/2022 0:00,214.47,,15.1,6.466666667,0.51695181,6.983618477,57.09
7/9/2022 0:00,261.75,1,,10.21760176,1.01053205,11.22813381, 
7/10/2022 0:00,429.17,28,,8.733333333,0,8.733333333, 
7/11/2022 0:00,114.75,,,8.333333333,2.133333337,10.46666667, 
7/12/2022 0:00,203.76,8,,7.333333333,0.25,7.583333333, 
7/13/2022 0:00,221.73,24,,11.21666667,1.91666666,13.13333333, 
7/14/2022 0:00,196.61,,,9.15,1.22184176,10.37184176,55.34
7/15/2022 0:00,306.03,11,,,0,, 
7/16/2022 0:00,338.07,39,,9.783333333,1.004848827,10.78818216, 
7/17/2022 0:00,193.86,,14.3,8.9,1.61209168,10.51209168,57.17
